student id,first name,last name,grade level,level,enrollment date,status,parent name,parent phone,parent email
2STU051,Elisha,Ndombele,humanites-2,Humanités,2024-01-12,active,Patricia Ndombele,+243903123478,patricia.ndombele@gmail.com
3STU052,Phoebe,Bakayoko,humanites-4,Humanités,2024-02-05,active,Jean-Pierre Bakayoko,+243904234589,jeanpierre.bakayoko@yahoo.com
4STU053,Gideon,Kimba,licence-1,Enseignement supérieur,2024-01-20,active,Helene Kimba,+243905345690,helene.kimba@outlook.com
5STU054,Priscilla,Mutombo,licence-2,Enseignement supérieur,2024-02-14,active,Gilbert Mutombo,+243906456801,gilbert.mutombo@gmail.com
6STU055,Silas,Ilunga,primaire-3,Primaire,2024-01-18,active,Josephine Ilunga,+243907567812,josephine.ilunga@yahoo.fr
7STU056,Tabitha,Katumba,primaire-5,Primaire,2024-02-22,active,Roger Katumba,+243908678923,roger.katumba@gmail.com
8STU057,Barnabas,Nkulu,primaire-2,Primaire,2024-01-25,active,Nadine Nkulu,+243909789034,nadine.nkulu@outlook.com
9STU058,Dorcas,Kabwe,primaire-4,Primaire,2024-02-10,active,Victor Kabwe,+243900890145,victor.kabwe@gmail.com
10STU059,Micah,Luboya,primaire-6,Primaire,2024-01-15,active,Florence Luboya,+243901901256,florence.luboya@yahoo.com
11STU060,Lydia,Tshimanga,primaire-1,Primaire,2024-02-18,active,Daniel Tshimanga,+243902012367,daniel.tshimanga@gmail.com
12STU061,Solomon,Mwanza,base-7,Éducation de Base,2024-01-22,active,Cecile Mwanza,+243903123478,cecile.mwanza@outlook.com
13STU062,Eunice,Ngoy,base-8,Éducation de Base,2024-02-08,active,Patrick Ngoy,+243904234589,patrick.ngoy@gmail.com
14STU063,Hezekiah,Kalala,humanites-1,Humanités,2024-01-28,active,Marie-Claire Kalala,+243905345690,marieclaire.kalala@yahoo.fr
15STU064,Jemima,Mbuyu,humanites-3,Humanités,2024-02-15,active,Antoine Mbuyu,+243906456801,antoine.mbuyu@gmail.com
16STU065,Boaz,Mwilambwe,humanites-2,Humanités,2024-01-30,active,Jacqueline Mwilambwe,+243907567812,jacqueline.mwilambwe@outlook.com
17STU066,Rhoda,Kasai,humanites-4,Humanités,2024-02-20,active,Christian Kasai,+243908678923,christian.kasai@gmail.com
18STU067,Asher,Numbi,licence-3,Enseignement supérieur,2024-01-15,active,Therese Numbi,+243909789034,therese.numbi@yahoo.com
19STU068,Dinah,Kamba,licence-1,Enseignement supérieur,2024-02-12,active,Robert Kamba,+243900890145,robert.kamba@gmail.com
20STU069,Josiah,Lubamba,primaire-3,Primaire,2024-01-20,active,Beatrice Lubamba,+243901901256,beatrice.lubamba@outlook.com
21STU070,Martha,Kisimba,primaire-5,Primaire,2024-02-25,active,Sylvain Kisimba,+243902012367,sylvain.kisimba@gmail.com
22STU071,Levi,Mukuna,primaire-2,Primaire,2024-01-18,active,Georgina Mukuna,+243903123478,georgina.mukuna@yahoo.fr
23STU072,Salome,Mpiana,primaire-4,Primaire,2024-02-10,active,Michel Mpiana,+243904234589,michel.mpiana@gmail.com
24STU073,Simeon,Kabeya,primaire-6,Primaire,2024-01-25,active,Odette Kabeya,+243905345690,odette.kabeya@outlook.com
25STU074,Keturah,Mulangu,primaire-1,Primaire,2024-02-15,active,Francois Mulangu,+243906456801,francois.mulangu@gmail.com
26STU075,Mordecai,Tshamba,base-7,Éducation de Base,2024-01-22,active,Elisabeth Tshamba,+243907567812,elisabeth.tshamba@yahoo.com
27STU076,Bathsheba,Ndala,base-8,Éducation de Base,2024-02-08,active,Justin Ndala,+243908678923,justin.ndala@gmail.com
28STU077,Amos,Mukendi,humanites-1,Humanités,2024-01-30,active,Anastasie Mukendi,+243909789034,anastasie.mukendi@outlook.com
29STU078,Leah,Kisula,humanites-3,Humanités,2024-02-20,active,Raymond Kisula,+243900890145,raymond.kisula@gmail.com
30STU079,Ezekiel,Mulaji,humanites-2,Humanités,2024-01-15,active,Henriette Mulaji,+243901901256,henriette.mulaji@yahoo.fr
31STU080,Judith,Tshilenge,humanites-4,Humanités,2024-02-12,active,Pascal Tshilenge,+243902012367,pascal.tshilenge@gmail.com
32STU081,Zechariah,Kabamba,licence-2,Enseignement supérieur,2024-01-20,active,Claudine Kabamba,+243903123478,claudine.kabamba@outlook.com
33STU082,Anna,Monga,licence-3,Enseignement supérieur,2024-02-18,active,Andre Monga,+243904234589,andre.monga@gmail.com
34STU083,Reuben,Kipili,primaire-3,Primaire,2024-01-25,active,Solange Kipili,+243905345690,solange.kipili@yahoo.com
35STU084,Susanna,Musau,primaire-5,Primaire,2024-02-10,active,Jean-Claude Musau,+243906456801,jeanclaude.musau@gmail.com
36STU085,Thaddeus,Mwamba,primaire-2,Primaire,2024-01-18,active,Esperance Mwamba,+243907567812,esperance.mwamba@outlook.com
37STU086,Joanna,Kasongo,primaire-4,Primaire,2024-02-22,active,Alphonse Kasongo,+243908678923,alphonse.kasongo@gmail.com
38STU087,Jude,Mpala,primaire-6,Primaire,2024-01-28,active,Angele Mpala,+243909789034,angele.mpala@yahoo.fr
39STU088,Magdalene,Kibwe,primaire-1,Primaire,2024-02-15,active,Bernard Kibwe,+243900890145,bernard.kibwe@gmail.com
40STU089,Matthias,Tshiyoyo,base-7,Éducation de Base,2024-01-22,active,Marcelline Tshiyoyo,+243901901256,marcelline.tshiyoyo@outlook.com
